x;y
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-120
120;-119
120;-117
120;-115
120;-114
120;-113
120;-109
120;-107
120;-104
120;-102
120;-97
120;-93
120;-90
120;-87
120;-80
120;-77
120;-73
120;-70
120;-62
120;-59
120;-55
120;-52
120;-45
120;-42
120;-39
120;-35
120;-29
120;-26
120;-22
120;-19
120;-13
120;-9
120;-6
120;-3
120;3
120;6
120;9
120;12
120;17
120;19
120;22
120;24
120;29
120;32
120;34
120;37
120;42
120;44
120;47
120;49
120;54
120;57
120;59
120;62
120;67
120;69
120;72
120;76
120;82
120;85
120;89
120;92
120;97
120;99
120;102
120;104
120;109
120;112
120;114
120;117
120;122
120;124
120;126
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
120;130
