x;y
-169;-120
-169;-119
-169;-117
-169;-114
-169;-113
-169;-112
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-169;-111
-166;-111
-159;-111
-155;-111
-151;-111
-144;-111
-140;-110
-136;-108
-132;-105
-123;-101
-123;-101
-115;-98
-112;-98
-108;-98
-101;-98
-97;-98
-93;-98
-90;-98
-82;-98
-79;-98
-75;-98
-71;-98
-64;-98
-61;-98
-57;-98
-50;-98
-46;-98
-42;-98
-39;-98
-35;-98
-28;-98
-24;-98
-20;-98
-17;-98
-9;-98
-5;-98
0;-98
8;-98
8;-98
17;-98
21;-98
28;-98
28;-98
34;-98
37;-98
40;-98
43;-98
44;-98
45;-98
47;-98
48;-98
48;-98
48;-98
48;-98
49;-98
52;-98
56;-98
60;-98
67;-98
69;-98
66;-98
62;-98
55;-98
51;-98
48;-98
51;-98
58;-98
62;-98
65;-98
73;-98
73;-98
80;-98
83;-98
87;-98
91;-98
98;-98
102;-98
109;-98
113;-98
116;-98
120;-98
124;-98
131;-98
135;-98
137;-98
137;-98
136;-98
134;-98
131;-98
129;-98
124;-98
123;-98
123;-98
123;-98
123;-98
130;-98
134;-98
138;-98
145;-98
145;-98
