x;y
145;-97
144;-95
143;-94
142;-92
141;-91
139;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-91
138;-88
136;-82
134;-79
132;-76
130;-73
126;-67
123;-64
120;-60
116;-57
108;-51
104;-49
99;-47
95;-45
86;-40
83;-37
79;-34
76;-31
69;-24
65;-21
57;-16
53;-14
48;-11
44;-9
35;-5
35;-5
28;0
25;3
21;6
15;13
12;16
9;18
5;19
2;21
-4;24
-7;26
-14;29
-18;30
-23;32
-27;33
-31;35
-35;35
-42;35
-46;35
-50;35
-58;35
-61;35
-65;35
-69;35
-73;35
-80;36
-81;39
-81;41
-81;44
-81;49
-81;52
-82;57
-87;66
-91;75
-94;79
-96;79
-104;79
-108;79
-112;79
-116;79
-123;79
-127;79
-131;79
-135;79
-139;79
-143;82
-143;83
-143;84
-143;87
-143;90
-143;94
-143;101
-143;105
-143;109
-143;110
-143;110
-143;110
-143;110
-143;110
-143;110
-143;110
-143;110
-143;110
-143;110
-142;110
-138;110
-135;110
-132;110
-126;110
-122;110
-119;110
-111;110
-111;110
-104;110
-101;110
-108;110
-112;110
-116;110
-120;110
-124;110
-131;110
-135;110
-139;110
-143;110
-147;110
-147;110
-147;108
-147;106
-147;102
-146;100
-142;95
-139;94
-137;94
-134;94
-133;94
-133;94
-133;94
-133;94
-133;95
-134;98
-141;103
-144;105
-147;108
-150;109
-152;109
-152;109
