x;y
-152;109
-152;105
-152;103
-152;101
-152;99
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-152;97
-150;97
-146;97
-141;97
-131;97
-127;97
-123;97
-119;97
-116;97
-110;97
-106;97
-104;97
-105;97
-107;97
-108;97
-111;97
-111;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;97
-112;94
-112;92
-112;90
-112;86
-112;84
-112;81
-112;79
-112;75
-112;73
-112;71
-112;66
-112;63
-112;58
-112;56
-112;54
-112;52
-112;48
-112;46
-112;44
-112;41
-112;36
-112;34
-112;31
-112;29
-112;25
-112;23
-112;20
-112;16
-112;14
-112;9
-112;6
-112;1
-112;-3
-112;-6
-112;-11
-112;-16
-112;-23
-112;-27
-112;-34
-112;-37
-112;-44
-112;-47
-112;-51
-112;-57
-112;-62
-112;-67
-112;-72
-112;-81
-112;-86
-112;-89
-112;-96
-112;-99
-112;-102
-112;-106
-112;-110
-112;-115
-112;-120
-112;-129
-112;-130
-112;-130
-112;-130
-112;-128
-112;-124
-112;-121
-112;-118
-112;-111
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-110
-112;-108
-112;-107
-112;-105
-112;-104
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
-112;-103
