x;y
137;-96
137;-90
137;-87
137;-84
137;-81
137;-78
137;-69
137;-64
137;-59
137;-55
137;-50
137;-41
137;-36
137;-31
137;-22
137;-19
137;-19
137;-19
131;-19
128;-19
124;-19
120;-19
112;-19
109;-19
106;-19
103;-19
100;-19
97;-19
88;-19
85;-19
83;-19
80;-19
77;-19
74;-19
66;-19
62;-19
59;-19
55;-19
51;-19
43;-19
36;-19
32;-19
28;-19
24;-19
20;-19
13;-19
2;-19
-1;-17
-8;-4
-9;3
-9;6
-9;14
-9;21
-9;25
-9;28
-9;32
-9;39
-10;43
-15;48
-19;52
-27;52
-31;52
-35;52
-39;52
-46;52
-50;52
-54;52
-58;52
-58;52
-58;52
-58;52
-58;52
-58;52
-58;52
-58;52
-58;55
-58;58
-58;60
-58;62
-58;68
-58;72
-58;75
-59;79
-62;85
-66;90
-67;92
-71;96
-74;97
-76;97
-81;97
-85;97
-87;97
-89;98
-93;101
-99;104
-103;105
-111;105
-115;105
-119;105
-122;105
-130;105
-134;105
-138;105
-145;105
-147;107
-148;111
-151;117
-152;124
-152;126
-152;125
-152;124
-152;123
-152;120
