x;y
112;112
108;112
104;111
100;109
91;105
86;102
82;100
77;97
68;87
63;83
58;78
53;73
47;66
44;63
40;59
37;56
31;48
29;44
27;39
25;35
20;26
18;21
16;17
14;13
9;4
7;0
4;-4
-2;-10
-5;-14
-9;-17
-12;-21
-18;-28
-22;-31
-25;-34
-29;-38
-32;-41
-39;-48
-42;-51
-45;-55
-49;-58
-55;-65
-59;-68
-62;-72
-65;-75
-72;-82
-75;-85
-79;-89
-83;-98
-85;-102
-87;-106
-90;-111
-92;-115
-95;-122
-96;-126
-98;-130
-99;-130
-102;-130
-104;-130
-105;-130
-109;-130
-110;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
-111;-130
