x;y
-128;119
-126;119
-123;119
-118;119
-116;119
-115;119
-112;119
-111;119
-110;119
-108;119
-106;119
-102;119
-100;119
-96;119
-92;119
-87;119
-82;119
-78;119
-68;119
-63;119
-59;119
-54;119
-49;119
-44;119
-36;119
-29;119
-26;119
-23;119
-19;119
-16;119
-11;119
-9;119
-6;119
-4;119
-1;119
3;119
5;119
10;119
13;119
16;119
19;119
22;119
29;119
32;119
35;119
39;119
42;119
49;119
52;119
55;119
58;119
62;119
68;119
71;119
78;119
81;119
84;119
91;119
93;119
96;119
98;119
101;119
103;119
108;119
111;119
113;119
118;119
121;119
123;119
126;119
128;119
133;119
136;119
138;119
140;119
142;119
146;119
150;119
150;119
