time;x;y;fx;fy
63;120;-120;0;41
126;120;-120;0;44
189;120;-120;0;44
252;120;-120;0;44
315;120;-120;0;44
378;120;-120;0;44
441;120;-120;0;37
504;120;-120;0;37
567;120;-120;0;37
630;120;-120;0;37
693;120;-120;0;37
756;120;-120;0;47
819;120;-120;0;47
882;120;-120;0;47
945;120;-120;0;47
1008;120;-120;0;47
1071;120;-120;0;74
1134;120;-120;0;74
1197;120;-120;0;74
1260;120;-120;0;74
1323;120;-120;0;74
1386;120;-119;0;248
1449;120;-112;0;248
1512;120;-109;0;248
1575;120;-105;0;248
1638;120;-102;0;248
1701;120;-95;0;310
1764;120;-91;0;310
1827;120;-87;0;310
1890;120;-84;0;310
1953;120;-76;0;280
2016;120;-72;0;280
2079;120;-67;0;280
2142;120;-58;0;280
2205;120;-53;0;280
2268;120;-48;0;162
2331;120;-46;0;162
2394;120;-44;0;162
2457;120;-40;0;162
2520;120;-38;0;162
2583;120;-36;0;162
2646;120;-32;0;261
2709;120;-22;0;261
2772;120;-17;0;261
2835;120;-13;0;261
2898;120;-8;0;261
2961;120;-3;0;135
3024;120;-1;0;135
3087;120;0;0;135
3150;120;1;0;135
3213;120;6;0;255
3276;120;11;0;255
3339;120;16;0;255
3402;120;20;0;255
3465;120;30;0;255
3528;120;33;0;0
3591;120;33;0;0
3654;120;33;0;0
3717;120;33;0;0
3780;120;33;0;0
3843;120;34;0;430
3906;120;38;0;430
3969;120;45;0;430
4032;120;49;0;430
4095;120;52;0;430
4158;120;56;0;0
4221;120;56;0;0
4284;120;56;0;0
4347;120;56;0;0
4410;120;56;0;0
4473;120;58;31;197
4536;120;60;31;197
4599;120;63;31;197
4662;120;65;31;197
4725;120;71;31;197
4788;120;72;45;125
4851;120;74;45;125
4914;120;75;45;125
4977;120;78;45;125
5040;120;80;45;125
5103;120;81;71;155
5166;120;83;71;155
5229;120;88;71;155
5292;120;90;71;155
5355;120;92;71;155
5418;120;93;78;102
5481;120;95;78;102
5544;120;97;78;102
5607;120;98;78;102
5670;120;99;78;102
5733;123;100;166;0
5796;125;100;166;0
