Date;time;x;y;fx;fy
28/11/2022;10:51:13.193;120;-120;0;41
28/11/2022;10:51:13.256;120;-120;0;44
28/11/2022;10:51:13.318;120;-120;0;44
28/11/2022;10:51:13.381;120;-120;0;44
28/11/2022;10:51:13.443;120;-120;0;44
28/11/2022;10:51:13.506;120;-120;0;44
28/11/2022;10:51:13.568;120;-120;0;37
28/11/2022;10:51:13.631;120;-120;0;37
28/11/2022;10:51:13.693;120;-120;0;37
28/11/2022;10:51:13.771;120;-120;0;37
28/11/2022;10:51:13.818;120;-120;0;37
28/11/2022;10:51:13.881;120;-120;0;47
28/11/2022;10:51:13.943;120;-120;0;47
28/11/2022;10:51:14.006;120;-120;0;47
28/11/2022;10:51:14.068;120;-120;0;47
28/11/2022;10:51:14.131;120;-120;0;47
28/11/2022;10:51:14.193;120;-120;0;74
28/11/2022;10:51:14.256;120;-120;0;74
28/11/2022;10:51:14.318;120;-120;0;74
28/11/2022;10:51:14.381;120;-120;0;74
28/11/2022;10:51:14.443;120;-120;0;74
28/11/2022;10:51:14.506;120;-119;0;248
28/11/2022;10:51:14.568;120;-112;0;248
28/11/2022;10:51:14.631;120;-109;0;248
28/11/2022;10:51:14.693;120;-105;0;248
28/11/2022;10:51:14.756;120;-102;0;248
28/11/2022;10:51:14.818;120;-95;0;310
28/11/2022;10:51:14.881;120;-91;0;310
28/11/2022;10:51:14.943;120;-87;0;310
28/11/2022;10:51:15.006;120;-84;0;310
28/11/2022;10:51:15.068;120;-76;0;280
28/11/2022;10:51:15.131;120;-72;0;280
28/11/2022;10:51:15.193;120;-67;0;280
28/11/2022;10:51:15.256;120;-58;0;280
28/11/2022;10:51:15.318;120;-53;0;280
28/11/2022;10:51:15.381;120;-48;0;162
28/11/2022;10:51:15.443;120;-46;0;162
28/11/2022;10:51:15.506;120;-44;0;162
28/11/2022;10:51:15.568;120;-40;0;162
28/11/2022;10:51:15.646;120;-38;0;162
28/11/2022;10:51:15.693;120;-36;0;162
28/11/2022;10:51:15.756;120;-32;0;261
28/11/2022;10:51:15.818;120;-22;0;261
28/11/2022;10:51:15.896;120;-17;0;261
28/11/2022;10:51:15.943;120;-13;0;261
28/11/2022;10:51:16.006;120;-8;0;261
28/11/2022;10:51:16.068;120;-3;0;135
28/11/2022;10:51:16.131;120;-1;0;135
28/11/2022;10:51:16.193;120;0;0;135
28/11/2022;10:51:16.256;120;1;0;135
