Date;Time;x;y;fx;fy
28/11/2022;10:52:25.424;120;-120;0;0
28/11/2022;10:52:25.471;120;-120;0;0
28/11/2022;10:52:25.518;120;-120;0;0
28/11/2022;10:52:25.580;120;-120;0;0
28/11/2022;10:52:25.643;120;-120;0;0
28/11/2022;10:52:25.705;120;-120;0;0
28/11/2022;10:52:25.768;120;-120;0;0
28/11/2022;10:52:25.830;120;-120;0;0
28/11/2022;10:52:25.893;120;-120;0;0
28/11/2022;10:52:25.955;120;-120;0;0
28/11/2022;10:52:26.018;120;-120;0;0
28/11/2022;10:52:26.080;120;-120;0;0
28/11/2022;10:52:26.143;120;-120;0;0
28/11/2022;10:52:26.205;120;-120;0;0
28/11/2022;10:52:26.268;120;-120;0;0
28/11/2022;10:52:26.330;120;-120;0;0
28/11/2022;10:52:26.393;120;-120;0;0
28/11/2022;10:52:26.455;120;-120;0;0
28/11/2022;10:52:26.518;120;-120;0;0
28/11/2022;10:52:26.580;120;-120;40;0
28/11/2022;10:52:26.643;120;-119;40;107
28/11/2022;10:52:26.721;120;-117;40;107
28/11/2022;10:52:26.768;120;-115;40;107
28/11/2022;10:52:26.831;120;-114;40;107
28/11/2022;10:52:26.893;120;-113;85;107
28/11/2022;10:52:26.956;120;-109;85;196
28/11/2022;10:52:27.018;120;-107;85;196
28/11/2022;10:52:27.081;120;-104;85;196
28/11/2022;10:52:27.143;120;-102;85;196
28/11/2022;10:52:27.206;120;-97;78;196
28/11/2022;10:52:27.268;120;-93;78;238
28/11/2022;10:52:27.331;120;-90;78;238
28/11/2022;10:52:27.393;120;-87;78;238
28/11/2022;10:52:27.456;120;-80;78;238
28/11/2022;10:52:27.518;120;-77;49;238
28/11/2022;10:52:27.581;120;-73;49;306
28/11/2022;10:52:27.643;120;-70;49;306
28/11/2022;10:52:27.706;120;-62;49;306
28/11/2022;10:52:27.768;120;-59;49;306
28/11/2022;10:52:27.831;120;-55;0;306
28/11/2022;10:52:27.893;120;-52;0;231
28/11/2022;10:52:27.956;120;-45;0;231
28/11/2022;10:52:28.018;120;-42;0;231
28/11/2022;10:52:28.081;120;-39;0;231
28/11/2022;10:52:28.143;120;-35;27;231
28/11/2022;10:52:28.206;120;-29;27;213
28/11/2022;10:52:28.268;120;-26;27;213
28/11/2022;10:52:28.331;120;-22;27;213
28/11/2022;10:52:28.393;120;-19;27;213
28/11/2022;10:52:28.456;120;-13;0;231
28/11/2022;10:52:28.518;120;-9;0;231
28/11/2022;10:52:28.581;120;-6;0;231
28/11/2022;10:52:28.643;120;-3;0;231
28/11/2022;10:52:28.706;120;3;0;231
